wg	rps	1500	udp	allup	3.24	3.58	64	50.6	c0:1.70 c1:0.52 c2:NA c3:NA c4:0.51 c5:0.52 	49|42|64|45|42|43|42|32
wg	rps	1500	udp	alldown	2.96	3.46	59	65.3	c0:1.44 c1:0.36 c2:0.36 c3:0.29 c4:0.26 c5:0.25 	59|30|31|41|43|51|47|44
wg	rss	9000	tcp	1up	1.69	2.62	95	-	c0:1.69 	95|26|23|35|20|21|21|22
wg	rss	9000	tcp	1down	5.43	3.37	60	-	c0:5.43 	40|38|40|60|42|41|36|41
wg	rss	9000	tcp	half	12.63	6.96	88	-	c0:0.56 c1:2.01 c2:3.53 c3:1.98 c4:3.02 c5:1.53 	86|86|87|87|87|88|87|87
wg	rss	9000	tcp	allup	8.55	6.51	88	-	c0:1.25 c1:1.43 c2:1.57 c3:1.43 c4:1.50 c5:1.36 	88|79|80|79|81|82|81|82
wg	rss	9000	tcp	alldown	9.80	5.67	73	-	c0:1.80 c1:1.60 c2:1.60 c3:1.62 c4:1.50 c5:1.68 	69|71|71|73|72|70|70|70
wg	rss	9000	udp	1up	1.77	2.62	61	0.0	c0:1.77 	61|31|31|27|26|29|28|30
wg	rss	9000	udp	1down	2.00	2.25	53	0.2	c0:2.00 	28|30|24|53|23|22|22|22
wg	rss	9000	udp	half	8.55	5.08	70	12.1	c0:0.00 c1:1.52 c2:1.54 c3:1.85 c4:1.74 c5:1.90 	70|63|58|65|66|60|63|63
wg	rss	9000	udp	allup	6.61	5.24	74	43.0	c0:0.00 c1:1.26 c2:1.34 c3:1.35 c4:1.35 c5:1.30 	74|60|60|69|71|64|63|64
wg	rss	9000	udp	alldown	9.50	4.98	68	21.0	c0:1.15 c1:1.92 c2:1.49 c3:1.90 c4:1.91 c5:1.14 	62|52|57|64|63|66|68|66
wg	rss	1500	tcp	1up	1.40	2.87	87	-	c0:1.40 	27|29|30|87|31|29|27|27
wg	rss	1500	tcp	1down	1.72	2.41	59	-	c0:1.72 	26|27|24|59|25|28|24|28
wg	rss	1500	tcp	half	8.24	7.82	99	-	c0:1.12 c1:1.15 c2:1.28 c3:1.31 c4:1.75 c5:1.64 	98|97|97|97|98|97|98|99
wg	rss	1500	tcp	allup	6.35	7.93	99	-	c0:1.10 c1:1.19 c2:1.17 c3:1.03 c4:1.10 c5:0.77 	99|99|99|99|99|99|99|99
wg	rss	1500	tcp	alldown	8.73	7.84	99	-	c0:1.33 c1:1.32 c2:1.72 c3:1.35 c4:1.61 c5:1.39 	98|97|97|98|98|99|98|99
wg	rss	1500	udp	1up	1.59	3.08	65	11.0	c0:1.59 	31|33|65|52|33|30|32|31
wg	rss	1500	udp	1down	1.33	2.42	90	35.0	c0:1.33 	42|15|13|90|13|13|14|41
wg	rss	1500	udp	half	3.67	7.76	100	49.2	c0:0.57 c1:0.50 c2:0.67 c3:0.62 c4:0.93 c5:0.38 	94|96|99|99|97|100|97|94
wg	rss	1500	udp	allup	2.46	7.96	100	73.3	c0:0.52 c1:0.43 c2:0.27 c3:0.36 c4:0.50 c5:0.38 	99|100|100|99|99|100|100|99
wg	rss	1500	udp	alldown	2.79	5.61	84	62.5	c0:0.39 c1:0.40 c2:0.55 c3:0.65 c4:0.39 c5:0.42 	84|54|59|81|60|75|79|69
